Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,0.9878,0.0057,0.854,0.1281,0.9878 ± 0.0057,0.8540 ± 0.1281,56.87
dataset_2,0.9547,0.0064,0.5673,0.0349,0.9547 ± 0.0064,0.5673 ± 0.0349,22.49
dataset_3,0.889,0.009,0.582,0.0248,0.8890 ± 0.0090,0.5820 ± 0.0248,26.73
dataset_4,0.8632,0.0069,0.4946,0.0375,0.8632 ± 0.0069,0.4947 ± 0.0375,23.91
dataset_5,0.986,0.0038,0.9748,0.0087,0.9860 ± 0.0038,0.9748 ± 0.0087,23.12
dataset_6,0.986,0.0038,0.9748,0.0087,0.9860 ± 0.0038,0.9748 ± 0.0087,18.77
dataset_7,0.9874,0.0024,0.8308,0.127,0.9874 ± 0.0024,0.8308 ± 0.1270,16.28
dataset_8,0.9874,0.0024,0.8308,0.127,0.9874 ± 0.0024,0.8308 ± 0.1270,16.39
dataset_9,0.9581,0.0089,0.812,0.0592,0.9581 ± 0.0089,0.8120 ± 0.0592,127.76
dataset_10,0.926,0.0083,0.4593,0.0241,0.9260 ± 0.0083,0.4593 ± 0.0241,128.07
dataset_11,0.8475,0.0094,0.1888,0.0208,0.8475 ± 0.0094,0.1888 ± 0.0208,118.62
dataset_12,0.8048,0.0089,0.1059,0.0177,0.8048 ± 0.0089,0.1059 ± 0.0177,122.35
dataset_13,0.9522,0.0096,0.8348,0.0475,0.9522 ± 0.0096,0.8348 ± 0.0475,124.07
dataset_14,0.9522,0.0096,0.8348,0.0475,0.9522 ± 0.0096,0.8348 ± 0.0475,125.01
dataset_15,0.9638,0.0083,0.8382,0.0342,0.9638 ± 0.0083,0.8382 ± 0.0342,129.24
dataset_16,0.9638,0.0083,0.8382,0.0342,0.9638 ± 0.0083,0.8382 ± 0.0342,128.2
